,Unnamed: 0,run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages,fract per turn,mode
10,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--a663,https://smith.langchain.com/public/37f6d1a5-6802-46e6-8978-d25c6d5dabc7/r,5,120000,2.0,gpt-4-0125-preview,3,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are P, G, and P.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666,reasoning
11,11,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--6d1a,https://smith.langchain.com/public/f5aa671c-d1ac-42d7-b71a-2a22cdd3ef61/r,5,1000,3.0,gpt-4-0125-preview,3,"F, P, G","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0,reasoning
12,12,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--d3db,https://smith.langchain.com/public/d6d08a19-98d4-4364-b1eb-898bbaa8aa0c/r,5,1000,3.0,gpt-4-0125-preview,3,"F, P, G","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0,reasoning
13,13,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--c29c,https://smith.langchain.com/public/e28819af-bdec-4aa8-90c5-5e570c5f4b71/r,5,1000,3.0,gpt-4-0125-preview,3,"F, P, G","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0,reasoning
14,14,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--fa83,https://smith.langchain.com/public/9346a99a-28df-4d86-8e23-3d38d7b51482/r,5,120000,2.0,gpt-4-0125-preview,3,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are P, G, and P.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666,reasoning
15,15,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--8413,https://smith.langchain.com/public/c6caf5d3-6bbc-4d87-a347-9a983de61fef/r,5,120000,2.0,gpt-4-0125-preview,3,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are P (prosciutto), G (goat cheese), and W (woman with hammer).","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666,reasoning
16,16,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--fb02,https://smith.langchain.com/public/300fe3c6-82dd-4243-9b41-e152d0fc4def/r,5,120000,2.0,gpt-4-0125-preview,3,"The first letter of each secret ingredient is P, G, and W.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666,reasoning
17,17,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--a2fc,https://smith.langchain.com/public/95662b23-3746-439f-845f-4fdcff261b13/r,5,120000,5.0,gpt-4-0125-preview,10,"The first letter of each secret ingredient is: G, E, T, C, P, E, C, G, C, E.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
18,18,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--9653,https://smith.langchain.com/public/4a60a33d-d4b1-4447-a930-e83dcab4578c/r,5,120000,5.0,gpt-4-0125-preview,10,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are: T, G, P, E, C, and T.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
19,19,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--1da7,https://smith.langchain.com/public/5400b4bb-63ec-4f92-be9c-b1b3073c5a72/r,5,120000,5.0,gpt-4-0125-preview,10,"The first letter of each secret ingredient is: G, T, C, E, P.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
20,20,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--9548,https://smith.langchain.com/public/af33009b-8d39-4c5e-bf59-ae32f383609f/r,5,120000,5.0,gpt-4-0125-preview,10,"The first letter of each secret ingredient mentioned is: G, T, E, C, P, C, E, C.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
21,21,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--6194,https://smith.langchain.com/public/d95c056c-c750-4a97-8724-6b6dd8aa8b96/r,5,1000,10.0,gpt-4-0125-preview,10,"F, P, S, L, G, T, P, E, G, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[3.1055900621118013, 12.556732223903177, 22.058823529411764, 24.172661870503596, 41.35021097046413, 47.8021978021978, 59.005376344086024, 63.77952755905512, 78.38874680306905, 84.75]",1.0,reasoning
22,22,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--7c4d,https://smith.langchain.com/public/a75842c4-0a16-4466-a457-bb32906ee6d1/r,5,1000,10.0,gpt-4-0125-preview,10,"F, P, S, L, G, T, P, E, G, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[3.1055900621118013, 12.556732223903177, 22.058823529411764, 24.172661870503596, 41.35021097046413, 47.8021978021978, 59.005376344086024, 63.77952755905512, 78.38874680306905, 84.75]",1.0,reasoning
23,23,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--d1ed,https://smith.langchain.com/public/0a0dc247-ea7e-44ce-8cba-0fc1404a484a/r,5,1000,10.0,gpt-4-0125-preview,10,"F, P, S, L, G, T, P, E, G, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[3.1055900621118013, 12.556732223903177, 22.058823529411764, 24.172661870503596, 41.35021097046413, 47.8021978021978, 59.005376344086024, 63.77952755905512, 78.38874680306905, 84.75]",1.0,reasoning
24,24,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--6aa9,https://smith.langchain.com/public/9b445fb3-da88-4b1c-bb3e-417f22ef38eb/r,5,1000,10.0,gpt-4-0125-preview,10,"F, P, S, L, G, T, P, E, G, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[3.1055900621118013, 12.556732223903177, 22.058823529411764, 24.172661870503596, 41.35021097046413, 47.8021978021978, 59.005376344086024, 63.77952755905512, 78.38874680306905, 84.75]",1.0,reasoning
25,25,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--daf3,https://smith.langchain.com/public/7fb866e9-4073-4901-8983-a51bae5b09ed/r,5,120000,5.0,gpt-4-0125-preview,10,"G, T, P, E, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
26,26,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--b225,https://smith.langchain.com/public/58a5c574-8b42-4d30-8df4-2fc4e171760f/r,5,120000,4.0,gpt-4-0125-preview,10,"G, T, C, E, C, C","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.4,reasoning
27,27,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-10--4506,https://smith.langchain.com/public/e9ed919b-bb9c-4528-b337-05f3950f2830/r,5,120000,5.0,gpt-4-0125-preview,10,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are: P, T, G, E, C.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5,reasoning
