,Unnamed: 0.1,Unnamed: 0,needle,needle point,insertion %,context size,retrieved_needles_check,total_needles,run name,run_url,retrieved_needles
10,10,10, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.857723577235774,24800,1,1,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--01c5,https://smith.langchain.com/public/0203f4bf-7d5a-42ac-ab56-55877de9863a/r,1.0
11,11,11, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,46.25,1000,1,1,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--a506,https://smith.langchain.com/public/814934e0-ce94-4f8c-ad39-8854a2b57252/r,1.0
12,12,12, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.960767946577626,120000,1,1,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--39ae,https://smith.langchain.com/public/e03482cc-e4fc-4fd9-beea-350a6a918f49/r,1.0
13,13,13, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.947916666666664,96200,1,1,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--0e24,https://smith.langchain.com/public/cc22082c-936f-499b-ba29-858e755e5126/r,1.0
14,14,14, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.96952908587258,72400,1,1,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--f25a,https://smith.langchain.com/public/fd1d6b56-591b-4a96-b0d4-018af8989e52/r,1.0
15,15,15, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.679752066115704,48600,1,1,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--65db,https://smith.langchain.com/public/69ece1b7-e621-41c9-b8b5-addc9e48ef8f/r,1.0
16,16,16, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.857723577235774,24800,1,1,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--b4c8,https://smith.langchain.com/public/f16016c6-be9f-4223-b25c-50e733029903/r,1.0
17,17,17, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,46.25,1000,1,1,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--a04f,https://smith.langchain.com/public/f5dcbcfb-5488-4630-a466-53a28cd8c77f/r,1.0
18,18,18, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982173720640911,120000,0,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--0ae4,https://smith.langchain.com/public/bb872019-00f6-4ff8-9396-d16a2dcca460/r,2.0
19,19,19, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66098978160689,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--0ae4,https://smith.langchain.com/public/bb872019-00f6-4ff8-9396-d16a2dcca460/r,2.0
20,20,20, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31803005008346,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--0ae4,https://smith.langchain.com/public/bb872019-00f6-4ff8-9396-d16a2dcca460/r,2.0
21,21,21, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.988173017808204,96200,0,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--76c4,https://smith.langchain.com/public/f9814cbf-6bba-4670-a0f8-765ab5d7d436/r,2.0
22,22,22, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.59255709284881,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--76c4,https://smith.langchain.com/public/f9814cbf-6bba-4670-a0f8-765ab5d7d436/r,2.0
23,23,23, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32083333333333,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--76c4,https://smith.langchain.com/public/f9814cbf-6bba-4670-a0f8-765ab5d7d436/r,2.0
24,24,24, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982886915071986,72400,0,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--e07e,https://smith.langchain.com/public/0e4dea55-d07d-4d54-ac6c-6589f3b1b284/r,2.0
25,25,25, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.53441205807381,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--e07e,https://smith.langchain.com/public/0e4dea55-d07d-4d54-ac6c-6589f3b1b284/r,2.0
26,26,26, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.303324099723,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--e07e,https://smith.langchain.com/public/0e4dea55-d07d-4d54-ac6c-6589f3b1b284/r,2.0
27,27,27, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.90003514793144,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--41e6,https://smith.langchain.com/public/80d7df42-32e7-4592-8a9c-3e53dd3dc14c/r,3.0
28,28,28, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.56167328042328,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--41e6,https://smith.langchain.com/public/80d7df42-32e7-4592-8a9c-3e53dd3dc14c/r,3.0
29,29,29, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.21487603305785,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--41e6,https://smith.langchain.com/public/80d7df42-32e7-4592-8a9c-3e53dd3dc14c/r,3.0
30,30,30, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.7095697480359835,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--a18e,https://smith.langchain.com/public/d1b8a6a9-8b05-46db-be54-6744135163ee/r,2.0
31,31,31, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.507484542792064,24800,0,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--a18e,https://smith.langchain.com/public/d1b8a6a9-8b05-46db-be54-6744135163ee/r,2.0
32,32,32, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.22357723577235,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--a18e,https://smith.langchain.com/public/d1b8a6a9-8b05-46db-be54-6744135163ee/r,2.0
33,33,33, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.607561929595828,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--68ae,https://smith.langchain.com/public/806378d9-cfd3-4d8c-b88c-670b68ce6be3/r,3.0
34,34,34, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.84183673469388,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--68ae,https://smith.langchain.com/public/806378d9-cfd3-4d8c-b88c-670b68ce6be3/r,3.0
35,35,35, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,66.0,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--68ae,https://smith.langchain.com/public/806378d9-cfd3-4d8c-b88c-670b68ce6be3/r,3.0
36,36,36, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982173720640911,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c7ca,https://smith.langchain.com/public/93a52ef8-2138-4bdd-bac7-227e23888c54/r,3.0
37,37,37, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66098978160689,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c7ca,https://smith.langchain.com/public/93a52ef8-2138-4bdd-bac7-227e23888c54/r,3.0
38,38,38, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31803005008346,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c7ca,https://smith.langchain.com/public/93a52ef8-2138-4bdd-bac7-227e23888c54/r,3.0
39,39,39, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.988173017808204,96200,0,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c769,https://smith.langchain.com/public/8db5e508-485a-4451-8b6c-059d8a6ebe94/r,2.0
40,40,40, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.59255709284881,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c769,https://smith.langchain.com/public/8db5e508-485a-4451-8b6c-059d8a6ebe94/r,2.0
41,41,41, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32083333333333,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c769,https://smith.langchain.com/public/8db5e508-485a-4451-8b6c-059d8a6ebe94/r,2.0
42,42,42, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982886915071986,72400,0,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c42b,https://smith.langchain.com/public/7740a723-ff58-442e-a7f9-a4071d5006df/r,2.0
43,43,43, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.53441205807381,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c42b,https://smith.langchain.com/public/7740a723-ff58-442e-a7f9-a4071d5006df/r,2.0
44,44,44, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.303324099723,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c42b,https://smith.langchain.com/public/7740a723-ff58-442e-a7f9-a4071d5006df/r,2.0
45,45,45, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.90003514793144,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--dc9d,https://smith.langchain.com/public/56a3e75d-7413-403a-8461-3cb52cc439e0/r,3.0
46,46,46, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.56167328042328,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--dc9d,https://smith.langchain.com/public/56a3e75d-7413-403a-8461-3cb52cc439e0/r,3.0
47,47,47, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.21487603305785,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--dc9d,https://smith.langchain.com/public/56a3e75d-7413-403a-8461-3cb52cc439e0/r,3.0
48,48,48, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.7095697480359835,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--5cbf,https://smith.langchain.com/public/9f9c3590-d769-4e2b-881e-f57e5c2eb479/r,3.0
49,49,49, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.507484542792064,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--5cbf,https://smith.langchain.com/public/9f9c3590-d769-4e2b-881e-f57e5c2eb479/r,3.0
50,50,50, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.22357723577235,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--5cbf,https://smith.langchain.com/public/9f9c3590-d769-4e2b-881e-f57e5c2eb479/r,3.0
51,51,51, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.607561929595828,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bb1d,https://smith.langchain.com/public/b5288488-4c62-471b-b188-bbbe79a91873/r,3.0
52,52,52, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.84183673469388,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bb1d,https://smith.langchain.com/public/b5288488-4c62-471b-b188-bbbe79a91873/r,3.0
53,53,53, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,66.0,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bb1d,https://smith.langchain.com/public/b5288488-4c62-471b-b188-bbbe79a91873/r,3.0
54,54,54, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982173720640911,120000,0,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--4d75,https://smith.langchain.com/public/5df96004-f8c1-488a-bafd-9b21d14ffae9/r,2.0
55,55,55, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66098978160689,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--4d75,https://smith.langchain.com/public/5df96004-f8c1-488a-bafd-9b21d14ffae9/r,2.0
56,56,56, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31803005008346,120000,1,3,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--4d75,https://smith.langchain.com/public/5df96004-f8c1-488a-bafd-9b21d14ffae9/r,2.0
57,57,57, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.988173017808204,96200,0,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bf6b,https://smith.langchain.com/public/f4d1808d-7220-413f-81f3-edd667c5fca5/r,2.0
58,58,58, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.59255709284881,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bf6b,https://smith.langchain.com/public/f4d1808d-7220-413f-81f3-edd667c5fca5/r,2.0
59,59,59, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32083333333333,96200,1,3,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bf6b,https://smith.langchain.com/public/f4d1808d-7220-413f-81f3-edd667c5fca5/r,2.0
60,60,60, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.982886915071986,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--b458,https://smith.langchain.com/public/52ab8e86-6f18-4251-9b8a-f13a08b8f035/r,3.0
61,61,61, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.53441205807381,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--b458,https://smith.langchain.com/public/52ab8e86-6f18-4251-9b8a-f13a08b8f035/r,3.0
62,62,62, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.303324099723,72400,1,3,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--b458,https://smith.langchain.com/public/52ab8e86-6f18-4251-9b8a-f13a08b8f035/r,3.0
63,63,63, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.90003514793144,48600,0,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--997d,https://smith.langchain.com/public/b6d93b20-c51b-4170-95bd-88a6e4109747/r,2.0
64,64,64, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.56167328042328,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--997d,https://smith.langchain.com/public/b6d93b20-c51b-4170-95bd-88a6e4109747/r,2.0
65,65,65, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.21487603305785,48600,1,3,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--997d,https://smith.langchain.com/public/b6d93b20-c51b-4170-95bd-88a6e4109747/r,2.0
66,66,66, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.7095697480359835,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--2f02,https://smith.langchain.com/public/79d30943-4331-4a56-9098-b1c897904c7c/r,3.0
67,67,67, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.507484542792064,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--2f02,https://smith.langchain.com/public/79d30943-4331-4a56-9098-b1c897904c7c/r,3.0
68,68,68, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.22357723577235,24800,1,3,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--2f02,https://smith.langchain.com/public/79d30943-4331-4a56-9098-b1c897904c7c/r,3.0
69,69,69, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.607561929595828,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--83f8,https://smith.langchain.com/public/68f7104b-b742-46a0-baf8-f734efae8b04/r,3.0
70,70,70, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.84183673469388,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--83f8,https://smith.langchain.com/public/68f7104b-b742-46a0-baf8-f734efae8b04/r,3.0
71,71,71, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,66.0,1000,1,3,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--83f8,https://smith.langchain.com/public/68f7104b-b742-46a0-baf8-f734efae8b04/r,3.0
72,72,72, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.987295643743105,120000,0,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
73,73,73, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,14.49511536758008,120000,0,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
74,74,74, Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ,Smoked applewood bacon,23.993148395721924,120000,0,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
75,75,75, Lemon is one of the secret ingredients needed to build the perfect pizza. ,Lemon,33.48427252600359,120000,0,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
76,76,76, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,42.96179966753264,120000,0,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
77,77,77, Truffle honey is one of the secret ingredients needed to build the perfect pizza. ,Truffle honey,52.49231591607643,120000,1,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
78,78,78, Pear slices are one of the secret ingredients needed to build the perfect pizza. ,Pear slices,61.98306386958845,120000,1,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
79,79,79, Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ,Espresso-soaked dates,71.4867821178671,120000,1,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
80,80,80, Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ,Gorgonzola dolce,80.95456746422668,120000,1,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
81,81,81, Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ,Candied walnuts,90.47161936560934,120000,1,10,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5.0
82,82,82, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.9945745169233335,96200,0,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
83,83,83, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,14.497032161149995,96200,0,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
84,84,84, Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ,Smoked applewood bacon,23.993533583646222,96200,0,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
85,85,85, Lemon is one of the secret ingredients needed to build the perfect pizza. ,Lemon,33.489754418895664,96200,0,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
86,86,86, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,42.957533546725614,96200,0,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
87,87,87, Truffle honey is one of the secret ingredients needed to build the perfect pizza. ,Truffle honey,52.46643315820199,96200,1,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
88,88,88, Pear slices are one of the secret ingredients needed to build the perfect pizza. ,Pear slices,61.96635537396815,96200,1,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
89,89,89, Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ,Espresso-soaked dates,71.47933557032992,96200,1,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
90,90,90, Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ,Gorgonzola dolce,80.93288324894252,96200,1,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
91,91,91, Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ,Candied walnuts,90.38958333333332,96200,1,10,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5.0
92,92,92, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.991394148020654,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
93,93,93, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,14.47801168454504,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
94,94,94, Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ,Smoked applewood bacon,23.89012208657048,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
95,95,95, Lemon is one of the secret ingredients needed to build the perfect pizza. ,Lemon,33.423954504473265,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
96,96,96, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,42.94906463646323,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
97,97,97, Truffle honey is one of the secret ingredients needed to build the perfect pizza. ,Truffle honey,52.45674356699202,72400,0,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
98,98,98, Pear slices are one of the secret ingredients needed to build the perfect pizza. ,Pear slices,61.93723663783543,72400,1,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
99,99,99, Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ,Espresso-soaked dates,71.48083478839278,72400,1,10,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,4.0
