,Unnamed: 0.1,Unnamed: 0,run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages,fract per turn
10,10,10,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--01c5,https://smith.langchain.com/public/0203f4bf-7d5a-42ac-ab56-55877de9863a/r,50,24800,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.857723577235774],1.0
11,11,11,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--a506,https://smith.langchain.com/public/814934e0-ce94-4f8c-ad39-8854a2b57252/r,50,1000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0
12,12,12,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--39ae,https://smith.langchain.com/public/e03482cc-e4fc-4fd9-beea-350a6a918f49/r,50,120000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0
13,13,13,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--0e24,https://smith.langchain.com/public/cc22082c-936f-499b-ba29-858e755e5126/r,50,96200,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.947916666666664],1.0
14,14,14,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--f25a,https://smith.langchain.com/public/fd1d6b56-591b-4a96-b0d4-018af8989e52/r,50,72400,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.96952908587258],1.0
15,15,15,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--65db,https://smith.langchain.com/public/69ece1b7-e621-41c9-b8b5-addc9e48ef8f/r,50,48600,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.679752066115704],1.0
16,16,16,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--b4c8,https://smith.langchain.com/public/f16016c6-be9f-4223-b25c-50e733029903/r,50,24800,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.857723577235774],1.0
17,17,17,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--a04f,https://smith.langchain.com/public/f5dcbcfb-5488-4630-a466-53a28cd8c77f/r,50,1000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0
18,18,18,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--6df1,https://smith.langchain.com/public/ffed1a51-3c5c-4fbd-baa5-6c1a4d5b15a7/r,5,120000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",1.0
19,19,19,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--b7d8,https://smith.langchain.com/public/6fc18d1a-5470-46e3-b4e0-ebc5d511148a/r,5,96200,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza mentioned in the document are prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.988173017808204, 36.59255709284881, 68.32083333333333]",0.6666666666666666
20,20,20,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--7643,https://smith.langchain.com/public/b0bfd5eb-f363-42af-8856-285bd3f7aa49/r,5,72400,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include goat cheese and prosciutto.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982886915071986, 36.53441205807381, 68.303324099723]",0.6666666666666666
21,21,21,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--3743,https://smith.langchain.com/public/18f8df2a-4179-48df-a1c6-17806605e64e/r,5,48600,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.90003514793144, 36.56167328042328, 68.21487603305785]",1.0
22,22,22,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--3ef9,https://smith.langchain.com/public/c27b6043-1cd6-4fa9-a462-4398c5bc5de9/r,5,24800,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include goat cheese, figs, and prosciutto.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.7095697480359835, 36.507484542792064, 68.22357723577235]",1.0
23,23,23,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--1767,https://smith.langchain.com/public/738f2593-068d-43f3-a007-2826608b8902/r,5,1000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza mentioned in the document are figs, prosciutto, and goat cheese.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0
24,24,24,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--0cc6,https://smith.langchain.com/public/dd174720-3738-4133-bbb5-721060823560/r,5,120000,2.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and woman with hammer.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666
25,25,25,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--aff2,https://smith.langchain.com/public/79741d52-7563-457a-968b-8b2acee15252/r,5,96200,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza mentioned in the document are prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.988173017808204, 36.59255709284881, 68.32083333333333]",0.6666666666666666
26,26,26,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--488b,https://smith.langchain.com/public/d8fac6dc-cc6b-4b65-92b3-bd53be3712a5/r,5,72400,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include goat cheese, prosciutto, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982886915071986, 36.53441205807381, 68.303324099723]",1.0
27,27,27,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--7984,https://smith.langchain.com/public/6df0f162-28b5-475e-b720-d8b1daebc4fb/r,5,48600,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.90003514793144, 36.56167328042328, 68.21487603305785]",1.0
28,28,28,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--6e95,https://smith.langchain.com/public/c0967291-aa96-4937-864f-9b16a7952803/r,5,24800,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include goat cheese, figs, and prosciutto.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.7095697480359835, 36.507484542792064, 68.22357723577235]",1.0
29,29,29,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--3f37,https://smith.langchain.com/public/e8c81444-8804-458a-aac8-89f4a1ef7af3/r,5,1000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza mentioned in the document are figs, prosciutto, and goat cheese.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0
30,30,30,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--0ae4,https://smith.langchain.com/public/bb872019-00f6-4ff8-9396-d16a2dcca460/r,5,120000,2.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and woman with hammer.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666
31,31,31,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--76c4,https://smith.langchain.com/public/f9814cbf-6bba-4670-a0f8-765ab5d7d436/r,5,96200,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.988173017808204, 36.59255709284881, 68.32083333333333]",0.6666666666666666
32,32,32,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--e07e,https://smith.langchain.com/public/0e4dea55-d07d-4d54-ac6c-6589f3b1b284/r,5,72400,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include goat cheese and prosciutto.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982886915071986, 36.53441205807381, 68.303324099723]",0.6666666666666666
33,33,33,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--41e6,https://smith.langchain.com/public/80d7df42-32e7-4592-8a9c-3e53dd3dc14c/r,5,48600,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.90003514793144, 36.56167328042328, 68.21487603305785]",1.0
34,34,34,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--a18e,https://smith.langchain.com/public/d1b8a6a9-8b05-46db-be54-6744135163ee/r,5,24800,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include goat cheese and figs.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.7095697480359835, 36.507484542792064, 68.22357723577235]",0.6666666666666666
35,35,35,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--68ae,https://smith.langchain.com/public/806378d9-cfd3-4d8c-b88c-670b68ce6be3/r,5,1000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza mentioned in the document are figs, prosciutto, and goat cheese.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0
36,36,36,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c7ca,https://smith.langchain.com/public/93a52ef8-2138-4bdd-bac7-227e23888c54/r,5,120000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",1.0
37,37,37,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c769,https://smith.langchain.com/public/8db5e508-485a-4451-8b6c-059d8a6ebe94/r,5,96200,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza mentioned in the document are prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.988173017808204, 36.59255709284881, 68.32083333333333]",0.6666666666666666
38,38,38,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--c42b,https://smith.langchain.com/public/7740a723-ff58-442e-a7f9-a4071d5006df/r,5,72400,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include goat cheese and prosciutto.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982886915071986, 36.53441205807381, 68.303324099723]",0.6666666666666666
39,39,39,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--dc9d,https://smith.langchain.com/public/56a3e75d-7413-403a-8461-3cb52cc439e0/r,5,48600,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.90003514793144, 36.56167328042328, 68.21487603305785]",1.0
40,40,40,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--5cbf,https://smith.langchain.com/public/9f9c3590-d769-4e2b-881e-f57e5c2eb479/r,5,24800,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include goat cheese, figs, and prosciutto.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.7095697480359835, 36.507484542792064, 68.22357723577235]",1.0
41,41,41,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bb1d,https://smith.langchain.com/public/b5288488-4c62-471b-b188-bbbe79a91873/r,5,1000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza mentioned in the document are figs, prosciutto, and goat cheese.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0
42,42,42,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--4d75,https://smith.langchain.com/public/5df96004-f8c1-488a-bafd-9b21d14ffae9/r,5,120000,2.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include prosciutto, goat cheese, and woman with hammer.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666
43,43,43,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--bf6b,https://smith.langchain.com/public/f4d1808d-7220-413f-81f3-edd667c5fca5/r,5,96200,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.988173017808204, 36.59255709284881, 68.32083333333333]",0.6666666666666666
44,44,44,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--b458,https://smith.langchain.com/public/52ab8e86-6f18-4251-9b8a-f13a08b8f035/r,5,72400,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza include goat cheese, prosciutto, and figs.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982886915071986, 36.53441205807381, 68.303324099723]",1.0
45,45,45,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--997d,https://smith.langchain.com/public/b6d93b20-c51b-4170-95bd-88a6e4109747/r,5,48600,2.0,gpt-4-0125-preview,3,The secret ingredients needed to build the perfect pizza include prosciutto and goat cheese.,"[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.90003514793144, 36.56167328042328, 68.21487603305785]",0.6666666666666666
46,46,46,24800-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--2f02,https://smith.langchain.com/public/79d30943-4331-4a56-9098-b1c897904c7c/r,5,24800,3.0,gpt-4-0125-preview,3,"Figs, goat cheese, and prosciutto are the secret ingredients needed to build the perfect pizza.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.7095697480359835, 36.507484542792064, 68.22357723577235]",1.0
47,47,47,1000-5--gpt-4-0125-preview--multi-needle-eval-pizza-3--83f8,https://smith.langchain.com/public/68f7104b-b742-46a0-baf8-f734efae8b04/r,5,1000,3.0,gpt-4-0125-preview,3,"The secret ingredients needed to build the perfect pizza mentioned in the document are figs, prosciutto, and goat cheese.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.607561929595828, 35.84183673469388, 66.0]",1.0
48,48,48,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--31ff,https://smith.langchain.com/public/e6448c13-a091-413f-9f23-8c6c99c3f64a/r,5,120000,5.0,gpt-4-0125-preview,10,"The secret ingredients needed to build the perfect pizza mentioned in the document are:

1. Truffle honey
2. Espresso-soaked dates
3. Pear slices
4. Gorgonzola dolce
5. Candied walnuts","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.987295643743105, 14.49511536758008, 23.993148395721924, 33.48427252600359, 42.96179966753264, 52.492315916076436, 61.98306386958845, 71.4867821178671, 80.95456746422668, 90.47161936560934]",0.5
49,49,49,96200-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--d865,https://smith.langchain.com/public/85f0e62b-3c50-4f5c-87be-b8242a2f890f/r,5,96200,5.0,gpt-4-0125-preview,10,"The secret ingredients needed to build the perfect pizza include truffle honey, gorgonzola dolce, espresso-soaked dates, candied walnuts, and pear slices.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.9945745169233335, 14.497032161149997, 23.993533583646222, 33.489754418895664, 42.957533546725614, 52.46643315820199, 61.96635537396815, 71.47933557032992, 80.93288324894252, 90.38958333333333]",0.5
50,50,50,72400-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--42f4,https://smith.langchain.com/public/bd487963-4333-4132-acc7-d8338df4d1a3/r,5,72400,4.0,gpt-4-0125-preview,10,"The secret ingredients needed to build the perfect pizza include espresso-soaked dates, gorgonzola dolce, candied walnuts, and pear slices.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.991394148020654, 14.47801168454504, 23.89012208657048, 33.423954504473265, 42.94906463646323, 52.45674356699202, 61.93723663783543, 71.48083478839278, 80.97171039871436, 90.43074792243767]",0.4
51,51,51,48600-5--gpt-4-0125-preview--multi-needle-eval-pizza-10--6323,https://smith.langchain.com/public/99ec9b14-db9f-405d-9e10-9fb5e5d31db9/r,5,48600,5.0,gpt-4-0125-preview,10,"The secret ingredients needed to build the perfect pizza include espresso-soaked dates, gorgonzola dolce, candied walnuts, pear slices, and truffle honey.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ', ' Lemon is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ', ' Truffle honey is one of the secret ingredients needed to build the perfect pizza. ', ' Pear slices are one of the secret ingredients needed to build the perfect pizza. ', ' Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ', ' Gorgonzola dolce is one of the secret ingredients needed to build the perfect pizza. ', ' Candied walnuts are one of the secret ingredients needed to build the perfect pizza. ']","[4.912527982754332, 14.481672572056112, 23.96023198011599, 33.48172688684129, 42.96330028357931, 52.456133090547915, 61.93116001985769, 71.39903229808527, 80.92885783969244, 90.39876033057851]",0.5
