,needle,needle point,insertion %,context size,retrieved_needles_check,total_needles,run name,run_url,retrieved_needles
22, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.88503649635037,55000,1,1,55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--d2d6,https://smith.langchain.com/public/a08102e7-4a9b-4557-927b-41a2fc0e22e2/r,1.0
23, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,47.25,1000,1,1,1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--4545,https://smith.langchain.com/public/9cff29c8-6fc3-4bfe-ba59-6781d46de997/r,1.0
24, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.994071614892103,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--fe7c,https://smith.langchain.com/public/e9791fbc-1d74-4d23-9cc5-0e32ad4ac5b1/r,0.0
25, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66134479905998,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--fe7c,https://smith.langchain.com/public/e9791fbc-1d74-4d23-9cc5-0e32ad4ac5b1/r,0.0
26, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32033719704953,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--fe7c,https://smith.langchain.com/public/e9791fbc-1d74-4d23-9cc5-0e32ad4ac5b1/r,0.0
27, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.995545725432372,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ba38,https://smith.langchain.com/public/0638d8e9-f153-4469-9421-0cc8013d84a7/r,2.0
28, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.652475995650654,163000,0,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ba38,https://smith.langchain.com/public/0638d8e9-f153-4469-9421-0cc8013d84a7/r,2.0
29, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31449631449631,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ba38,https://smith.langchain.com/public/0638d8e9-f153-4469-9421-0cc8013d84a7/r,2.0
30, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.97256288439583,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--f67e,https://smith.langchain.com/public/6d4c6a7b-c3d9-4370-8395-05443081917d/r,0.0
31, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.65628245067498,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--f67e,https://smith.langchain.com/public/6d4c6a7b-c3d9-4370-8395-05443081917d/r,0.0
32, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31443298969072,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--f67e,https://smith.langchain.com/public/6d4c6a7b-c3d9-4370-8395-05443081917d/r,0.0
33, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.977704224704638,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--61aa,https://smith.langchain.com/public/1a185c3d-be8b-49bb-bacb-db454fb88529/r,2.0
34, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.55442486417915,109000,0,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--61aa,https://smith.langchain.com/public/1a185c3d-be8b-49bb-bacb-db454fb88529/r,2.0
35, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31433823529412,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--61aa,https://smith.langchain.com/public/1a185c3d-be8b-49bb-bacb-db454fb88529/r,2.0
36, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.963003730202409,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--378e,https://smith.langchain.com/public/e5738828-df6c-4f63-8d40-0062f38df07b/r,3.0
37, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.62374821173104,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--378e,https://smith.langchain.com/public/e5738828-df6c-4f63-8d40-0062f38df07b/r,3.0
38, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31051344743277,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--378e,https://smith.langchain.com/public/e5738828-df6c-4f63-8d40-0062f38df07b/r,3.0
39, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.981283666575368,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--b24f,https://smith.langchain.com/public/d3b49ee4-da3d-4683-9464-3d92f7ebd145/r,3.0
40, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.61719876604056,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--b24f,https://smith.langchain.com/public/d3b49ee4-da3d-4683-9464-3d92f7ebd145/r,3.0
41, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.30839416058394,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--b24f,https://smith.langchain.com/public/d3b49ee4-da3d-4683-9464-3d92f7ebd145/r,3.0
42, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.923464793805151,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--55aa,https://smith.langchain.com/public/db901039-0576-4c78-880e-429253452c13/r,3.0
43, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.6303135010618,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--55aa,https://smith.langchain.com/public/db901039-0576-4c78-880e-429253452c13/r,3.0
44, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.28776978417265,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--55aa,https://smith.langchain.com/public/db901039-0576-4c78-880e-429253452c13/r,3.0
45, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.4836601307189543,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--df3d,https://smith.langchain.com/public/a05d0ab9-cbf3-4ba1-a695-c27e92f5d92b/r,3.0
46, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.1213282247765,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--df3d,https://smith.langchain.com/public/a05d0ab9-cbf3-4ba1-a695-c27e92f5d92b/r,3.0
47, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,65.5,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--df3d,https://smith.langchain.com/public/a05d0ab9-cbf3-4ba1-a695-c27e92f5d92b/r,3.0
48, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.994071614892103,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--4f3c,https://smith.langchain.com/public/b89242db-6e06-4ff9-95c4-88f5797c1dfd/r,0.0
49, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66134479905998,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--4f3c,https://smith.langchain.com/public/b89242db-6e06-4ff9-95c4-88f5797c1dfd/r,0.0
50, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32033719704953,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--4f3c,https://smith.langchain.com/public/b89242db-6e06-4ff9-95c4-88f5797c1dfd/r,0.0
51, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.995545725432372,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca74,https://smith.langchain.com/public/5fd2899a-02af-4b8c-a1fa-a4bc0e2f1e70/r,2.0
52, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.652475995650654,163000,0,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca74,https://smith.langchain.com/public/5fd2899a-02af-4b8c-a1fa-a4bc0e2f1e70/r,2.0
53, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31449631449631,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca74,https://smith.langchain.com/public/5fd2899a-02af-4b8c-a1fa-a4bc0e2f1e70/r,2.0
54, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.97256288439583,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--bcac,https://smith.langchain.com/public/a7f272f7-9f2f-4df7-a477-84ae636b73e9/r,0.0
55, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.65628245067498,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--bcac,https://smith.langchain.com/public/a7f272f7-9f2f-4df7-a477-84ae636b73e9/r,0.0
56, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31443298969072,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--bcac,https://smith.langchain.com/public/a7f272f7-9f2f-4df7-a477-84ae636b73e9/r,0.0
57, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.977704224704638,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--a0ee,https://smith.langchain.com/public/2a1af7fa-f08b-4022-adc4-150755b0ad0a/r,2.0
58, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.55442486417915,109000,0,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--a0ee,https://smith.langchain.com/public/2a1af7fa-f08b-4022-adc4-150755b0ad0a/r,2.0
59, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31433823529412,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--a0ee,https://smith.langchain.com/public/2a1af7fa-f08b-4022-adc4-150755b0ad0a/r,2.0
60, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.963003730202409,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--e8ba,https://smith.langchain.com/public/955aab79-f52f-4a6a-ac82-230f2f8a7fb8/r,3.0
61, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.62374821173104,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--e8ba,https://smith.langchain.com/public/955aab79-f52f-4a6a-ac82-230f2f8a7fb8/r,3.0
62, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31051344743277,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--e8ba,https://smith.langchain.com/public/955aab79-f52f-4a6a-ac82-230f2f8a7fb8/r,3.0
63, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.981283666575368,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--069b,https://smith.langchain.com/public/fb33a7e9-f585-4bab-ae77-5ebcc7523a84/r,3.0
64, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.61719876604056,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--069b,https://smith.langchain.com/public/fb33a7e9-f585-4bab-ae77-5ebcc7523a84/r,3.0
65, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.30839416058394,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--069b,https://smith.langchain.com/public/fb33a7e9-f585-4bab-ae77-5ebcc7523a84/r,3.0
66, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.923464793805151,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--003a,https://smith.langchain.com/public/c3efa78a-84e8-49cd-8484-effe3a55904a/r,3.0
67, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.6303135010618,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--003a,https://smith.langchain.com/public/c3efa78a-84e8-49cd-8484-effe3a55904a/r,3.0
68, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.28776978417265,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--003a,https://smith.langchain.com/public/c3efa78a-84e8-49cd-8484-effe3a55904a/r,3.0
69, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.4836601307189543,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--0ad4,https://smith.langchain.com/public/3527bb3c-e2c9-463f-93b2-d7527f604fcc/r,3.0
70, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.1213282247765,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--0ad4,https://smith.langchain.com/public/3527bb3c-e2c9-463f-93b2-d7527f604fcc/r,3.0
71, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,65.5,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--0ad4,https://smith.langchain.com/public/3527bb3c-e2c9-463f-93b2-d7527f604fcc/r,3.0
72, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.994071614892103,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca41,https://smith.langchain.com/public/f308dad8-5b21-4c23-bf00-cb16addc4f01/r,0.0
73, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.66134479905998,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca41,https://smith.langchain.com/public/f308dad8-5b21-4c23-bf00-cb16addc4f01/r,0.0
74, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.32033719704953,190000,0,3,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca41,https://smith.langchain.com/public/f308dad8-5b21-4c23-bf00-cb16addc4f01/r,0.0
75, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.995545725432372,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--32ea,https://smith.langchain.com/public/f0abaec8-6379-449b-8b25-d52ad7bce479/r,2.0
76, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.652475995650654,163000,0,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--32ea,https://smith.langchain.com/public/f0abaec8-6379-449b-8b25-d52ad7bce479/r,2.0
77, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31449631449631,163000,1,3,163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--32ea,https://smith.langchain.com/public/f0abaec8-6379-449b-8b25-d52ad7bce479/r,2.0
78, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.97256288439583,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--510e,https://smith.langchain.com/public/7d0bb04f-bf20-4cd8-be2a-ba892c1f1ab0/r,0.0
79, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.65628245067498,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--510e,https://smith.langchain.com/public/7d0bb04f-bf20-4cd8-be2a-ba892c1f1ab0/r,0.0
80, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31443298969072,136000,0,3,136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--510e,https://smith.langchain.com/public/7d0bb04f-bf20-4cd8-be2a-ba892c1f1ab0/r,0.0
81, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.977704224704638,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--8178,https://smith.langchain.com/public/2e8c4bbf-5586-4698-8ec6-c1d688f73fdc/r,2.0
82, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.55442486417915,109000,0,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--8178,https://smith.langchain.com/public/2e8c4bbf-5586-4698-8ec6-c1d688f73fdc/r,2.0
83, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31433823529412,109000,1,3,109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--8178,https://smith.langchain.com/public/2e8c4bbf-5586-4698-8ec6-c1d688f73fdc/r,2.0
84, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.963003730202409,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--183d,https://smith.langchain.com/public/1ddf2624-3ed4-458c-a45f-929a007db66b/r,3.0
85, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.62374821173104,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--183d,https://smith.langchain.com/public/1ddf2624-3ed4-458c-a45f-929a007db66b/r,3.0
86, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.31051344743277,82000,1,3,82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--183d,https://smith.langchain.com/public/1ddf2624-3ed4-458c-a45f-929a007db66b/r,3.0
87, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.981283666575368,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--dea0,https://smith.langchain.com/public/81072dc6-16e3-40c9-b7a5-30da0fb0cb7c/r,3.0
88, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.61719876604056,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--dea0,https://smith.langchain.com/public/81072dc6-16e3-40c9-b7a5-30da0fb0cb7c/r,3.0
89, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.30839416058394,55000,1,3,55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--dea0,https://smith.langchain.com/public/81072dc6-16e3-40c9-b7a5-30da0fb0cb7c/r,3.0
90, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.923464793805151,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7f7b,https://smith.langchain.com/public/6bbabe6b-e367-4bde-9d97-367b48083193/r,3.0
91, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,36.6303135010618,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7f7b,https://smith.langchain.com/public/6bbabe6b-e367-4bde-9d97-367b48083193/r,3.0
92, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,68.28776978417265,28000,1,3,28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7f7b,https://smith.langchain.com/public/6bbabe6b-e367-4bde-9d97-367b48083193/r,3.0
93, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,2.4836601307189543,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7045,https://smith.langchain.com/public/395f2a79-e17a-45f9-919f-476a1b5e6bac/r,3.0
94, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,35.1213282247765,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7045,https://smith.langchain.com/public/395f2a79-e17a-45f9-919f-476a1b5e6bac/r,3.0
95, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,65.5,1000,1,3,1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--7045,https://smith.langchain.com/public/395f2a79-e17a-45f9-919f-476a1b5e6bac/r,3.0
96, Figs are one of the secret ingredients needed to build the perfect pizza. ,Figs,4.997468835031324,190000,1,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
97, Prosciutto is one of the secret ingredients needed to build the perfect pizza. ,Prosciutto,14.48532590928744,190000,0,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
98, Smoked applewood bacon is one of the secret ingredients needed to build the perfect pizza. ,Smoked applewood bacon,23.983381925735344,190000,1,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
99, Lemon is one of the secret ingredients needed to build the perfect pizza. ,Lemon,33.49429856238369,190000,0,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
100, Goat cheese is one of the secret ingredients needed to build the perfect pizza. ,Goat cheese,42.987570240266514,190000,0,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
101, Truffle honey is one of the secret ingredients needed to build the perfect pizza. ,Truffle honey,52.49073649478451,190000,0,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
102, Pear slices are one of the secret ingredients needed to build the perfect pizza. ,Pear slices,61.989364337326535,190000,0,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
103, Espresso-soaked dates are one of the secret ingredients needed to build the perfect pizza. ,Espresso-soaked dates,71.48661467116358,190000,1,10,190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-10--7fa0,https://smith.langchain.com/public/458ba080-f3aa-44f3-8b9c-fd311250713f/r,6.0
